Date,TSLA,10CMR,FFR,infexp,TWD,10YBE,oil,XAU,XAG,BTC,ETH,BNB,ADA,Tether,XRP,SOL,pDOTn,USDC,DOGE,TSLA_diff,10CMR_diff,FFR_diff,infexp_diff,TWD_diff,10YBE_diff,oil_diff,XAU_diff,XAG_diff,BTC_diff,ETH_diff,BNB_diff,ADA_diff,Tether_diff,XRP_diff,SOL_diff,pDOTn_diff,USDC_diff,DOGE_diff,const
2016-01-04,44.68,2.24,0.36,1.79,114.1596,1.55,36.81,1074.7,13.88,432.9,0,0,0,0,0.0051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-05,44.69,2.25,0.36,1.81,114.2649,1.56,35.97,1077.66,13.98,431.8,0,0,0,0,0.005,0,0,0,0,-0.0224,-0.4444,0,-1.105,-0.0922,-0.641,2.3353,-0.2747,-0.7153,0.2547,0,0,0,0,2,0,0,0,0,1
2016-01-06,43.81,2.18,0.36,1.8,114.6177,1.53,33.97,1094.45,14.01,428,0,0,0,0,0.005,0,0,0,0,2.0087,3.211,0,0.5556,-0.3078,1.9608,5.8875,-1.5341,-0.2141,0.8879,0,0,0,0,0,0,0,0,0,1
2016-01-07,43.13,2.16,0.36,1.75,114.6517,1.5,33.29,1109.25,14.31,459,0,0,0,0,0.005,0,0,0,0,1.5766,0.9259,0,2.8571,-0.0297,2,2.0427,-1.3342,-2.0964,-6.7538,0,0,0,0,0,0,0,0,0,1
2016-01-08,42.2,2.13,0.36,1.73,115.0097,1.48,33.2,1104.24,13.95,454,0,0,0,0,0.005,0,0,0,0,2.2038,1.4085,0,1.1561,-0.3113,1.3514,0.2711,0.4537,2.5806,1.1013,0,0,0,0,0,0,0,0,0,1
2016-01-11,41.57,2.17,0.36,1.71,115.0141,1.45,31.42,1094.26,13.86,449.3,0,0,0,0,0.004,0,0,0,0,1.5155,-1.8433,0,1.1696,-0.0038,2.069,5.6652,0.912,0.6494,1.0461,0,0,0,0,24.6883,0,0,0,0,1
2016-01-12,41.99,2.12,0.36,1.67,115.3129,1.43,30.42,1087.05,13.8,432,0,0,0,0,0.0051,0,0,0,0,-1.0002,2.3585,0,2.3952,-0.2591,1.3986,3.2873,0.6633,0.4348,4.0046,0,0,0,0,-20.5941,0,0,0,0,1
2016-01-13,40.06,2.08,0.36,1.68,115.1426,1.43,30.42,1093.49,14.14,431.1,0,0,0,0,0.0051,0,0,0,0,4.8178,1.9231,0,-0.5952,0.1479,0,0,-0.5889,-2.4045,0.2088,0,0,0,0,0,0,0,0,0,1
2016-01-14,41.24,2.1,0.36,1.66,115.3847,1.43,31.22,1078,13.85,429.3,0,0,0,0,0.0048,0,0,0,0,-2.8613,-0.9524,0,1.2048,-0.2098,0,-2.5625,1.4369,2.0939,0.4193,0,0,0,0,5.428,0,0,0,0,1
2016-01-15,41,2.03,0.36,1.6,115.7406,1.36,29.45,1089.1,13.93,358.9,0,0,0,0,0.0051,0,0,0,0,0.5854,3.4483,0,3.75,-0.3075,5.1471,6.0102,-1.0192,-0.5743,19.6155,0,0,0,0,-5.1485,0,0,0,0,1
2016-01-19,40.94,2.06,0.36,1.6,115.8155,1.38,28.47,1087.12,14.02,379,0,0,0,0,0.0053,0,0,0,0,0.1466,-1.4563,0,0,-0.0647,-1.4493,3.4422,0.1821,-0.6419,-5.3034,0,0,0,0,-3.8095,0,0,0,0,1
2016-01-20,39.74,2.01,0.37,1.54,116.35,1.32,26.68,1101.02,14.16,419.4,0,0,0,0,0.0054,0,0,0,0,3.0196,2.4876,-2.7027,3.8961,-0.4594,4.5455,6.7091,-1.2625,-0.9887,-9.6328,0,0,0,0,-3.3149,0,0,0,0,1
2016-01-21,39.99,2.02,0.37,1.48,115.9833,1.28,29.55,1101.6,14.09,411,0,0,0,0,0.0052,0,0,0,0,-0.6252,-0.495,0,4.0541,0.3162,3.125,-9.7124,-0.0527,0.4968,2.0438,0,0,0,0,3.626,0,0,0,0,1
2016-01-22,40.51,2.07,0.38,1.55,115.9833,1.35,32.07,1098.3,14.03,381,0,0,0,0,0.0052,0,0,0,0,-1.2836,-2.4155,-2.6316,-4.5161,0,-5.1852,-7.8578,0.3005,0.4277,7.874,0,0,0,0,0.1912,0,0,0,0,1
